ID,Classifier,Ranker,AttributesNum,Attributes,FPR_type1err,FNR_type2err,ROC_Area
79,5NN,SymmetricUncertainty,50,GENE3941X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE1567X;GENE384X;GENE1610X;GENE3944X;GENE3755X;GENE3945X;GENE2760X;GENE3754X;GENE3943X;GENE597X;GENE1125X;GENE3753X;GENE374X;GENE390X;GENE3258X;GENE639X;GENE2380X;GENE3176X;GENE3573X;GENE3946X;GENE1676X;GENE593X;GENE3898X;GENE1673X;GENE1741X;GENE1296X;GENE473X;GENE3968X;GENE635X;GENE378X;GENE472X;GENE520X;GENE379X;GENE3939X;GENE598X;GENE513X;GENE3642X;GENE567X;GENE568X;GENE2190X;GENE3588X;GENE1672X;GENE610X;GENE938X;GENE2758X,0.056,0.304,0.883
114,5NN,ChiSquared,7,GENE1610X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE384X;GENE3941X,0.056,0.478,0.853
50,NaiveBayes,InformationGain,200,GENE1610X;GENE3943X;GENE493X;GENE390X;GENE1537X;GENE1609X;GENE384X;GENE2760X;GENE2380X;GENE3945X;GENE938X;GENE597X;GENE385X;GENE374X;GENE3941X;GENE655X;GENE639X;GENE3641X;GENE3642X;GENE3573X;GENE1673X;GENE593X;GENE1741X;GENE473X;GENE1296X;GENE3968X;GENE635X;GENE472X;GENE378X;GENE598X;GENE379X;GENE513X;GENE1567X;GENE3258X;GENE567X;GENE2190X;GENE568X;GENE1622X;GENE2758X;GENE1672X;GENE610X;GENE3946X;GENE2759X;GENE514X;GENE1214X;GENE2186X;GENE1656X;GENE512X;GENE1612X;GENE500X;GENE2105X;GENE2462X;GENE2113X;GENE636X;GENE455X;GENE1676X;GENE2936X;GENE3939X;GENE2512X;GENE737X;GENE2238X;GENE717X;GENE3940X;GENE662X;GENE2460X;GENE3965X;GENE3335X;GENE3461X;GENE3932X;GENE558X;GENE569X;GENE626X;GENE555X;GENE187X;GENE2550X;GENE1615X;GENE377X;GENE1578X;GENE1690X;GENE1617X;GENE1696X;GENE3967X;GENE3944X;GENE585X;GENE1620X;GENE3934X;GENE2033X;GENE1212X;GENE962X;GENE527X;GENE518X;GENE2106X;GENE3574X;GENE947X;GENE707X;GENE2668X;GENE3259X;GENE3755X;GENE1581X;GENE2209X;GENE1648X;GENE2239X;GENE556X;GENE606X;GENE2513X;GENE834X;GENE2713X;GENE3104X;GENE2104X;GENE735X;GENE652X;GENE3754X;GENE2464X;GENE721X;GENE1647X;GENE1695X;GENE1614X;GENE723X;GENE1573X;GENE1637X;GENE2107X;GENE734X;GENE642X;GENE1702X;GENE1516X;GENE528X;GENE2484X;GENE1613X;GENE832X;GENE1632X;GENE712X;GENE1635X;GENE362X;GENE942X;GENE2181X;GENE2108X;GENE2483X;GENE1619X;GENE1821X;GENE1659X;GENE711X;GENE1616X;GENE725X;GENE3605X;GENE718X;GENE2240X;GENE1732X;GENE2757X;GENE2377X;GENE1636X;GENE1631X;GENE520X;GENE1207X;GENE550X;GENE1776X;GENE1543X;GENE221X;GENE982X;GENE1582X;GENE3955X;GENE3898X;GENE373X;GENE2200X;GENE1875X;GENE1633X;GENE2103X;GENE713X;GENE565X;GENE736X;GENE637X;GENE1658X;GENE3626X;GENE1223X;GENE1605X;GENE1768X;GENE3753X;GENE1125X;GENE1733X;GENE646X;GENE3757X;GENE844X;GENE2109X;GENE663X;GENE923X;GENE1530X;GENE3400X;GENE386X;GENE3860X;GENE981X;GENE1812X;GENE738X;GENE2558X;GENE529X;GENE3334X;GENE3176X;GENE516X;GENE720X;GENE1628X;GENE656X;GENE611X,0.181,0.13,0.905
48,NaiveBayes,InformationGain,50,GENE1610X;GENE3943X;GENE493X;GENE390X;GENE1537X;GENE1609X;GENE384X;GENE2760X;GENE2380X;GENE3945X;GENE938X;GENE597X;GENE385X;GENE374X;GENE3941X;GENE655X;GENE639X;GENE3641X;GENE3642X;GENE3573X;GENE1673X;GENE593X;GENE1741X;GENE473X;GENE1296X;GENE3968X;GENE635X;GENE472X;GENE378X;GENE598X;GENE379X;GENE513X;GENE1567X;GENE3258X;GENE567X;GENE2190X;GENE568X;GENE1622X;GENE2758X;GENE1672X;GENE610X;GENE3946X;GENE2759X;GENE514X;GENE1214X;GENE2186X;GENE1656X;GENE512X;GENE1612X;GENE500X,0.139,0.174,0.927
2,NaiveBayes,GainRatio,6,GENE3941X;GENE3944X;GENE3755X;GENE1125X;GENE3753X;GENE3754X,0.153,0.435,0.821
52,NaiveBayes,ChiSquared,6,GENE1610X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE384X,0.139,0.261,0.888
20,NaiveBayes,SymmetricUncertainty,200,GENE3941X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE1567X;GENE384X;GENE1610X;GENE3944X;GENE3755X;GENE3945X;GENE2760X;GENE3754X;GENE3943X;GENE597X;GENE1125X;GENE3753X;GENE374X;GENE390X;GENE3258X;GENE639X;GENE2380X;GENE3176X;GENE3573X;GENE3946X;GENE1676X;GENE593X;GENE3898X;GENE1673X;GENE1741X;GENE1296X;GENE473X;GENE3968X;GENE635X;GENE378X;GENE472X;GENE520X;GENE379X;GENE3939X;GENE598X;GENE513X;GENE3642X;GENE567X;GENE568X;GENE2190X;GENE3588X;GENE1672X;GENE610X;GENE938X;GENE2758X;GENE1622X;GENE3932X;GENE2186X;GENE1656X;GENE3461X;GENE3574X;GENE2105X;GENE2759X;GENE514X;GENE1214X;GENE1612X;GENE3940X;GENE636X;GENE455X;GENE3641X;GENE512X;GENE655X;GENE500X;GENE2113X;GENE86X;GENE1080X;GENE946X;GENE2512X;GENE2238X;GENE717X;GENE737X;GENE1776X;GENE569X;GENE626X;GENE1617X;GENE3965X;GENE662X;GENE2460X;GENE3335X;GENE2550X;GENE555X;GENE377X;GENE1578X;GENE1690X;GENE558X;GENE1212X;GENE1618X;GENE2464X;GENE3259X;GENE1620X;GENE518X;GENE2106X;GENE585X;GENE187X;GENE1615X;GENE1696X;GENE3967X;GENE947X;GENE707X;GENE2668X;GENE940X;GENE2713X;GENE3934X;GENE527X;GENE962X;GENE1658X;GENE854X;GENE1126X;GENE735X;GENE652X;GENE2462X;GENE1659X;GENE1821X;GENE721X;GENE528X;GENE2239X;GENE723X;GENE1616X;GENE642X;GENE2107X;GENE734X;GENE386X;GENE2209X;GENE2936X;GENE1648X;GENE1581X;GENE556X;GENE2033X;GENE982X;GENE834X;GENE2513X;GENE1614X;GENE1647X;GENE1695X;GENE2104X;GENE3104X;GENE942X;GENE2595X;GENE3628X;GENE2483X;GENE2108X;GENE364X;GENE1702X;GENE373X;GENE3751X;GENE1573X;GENE1637X;GENE725X;GENE718X;GENE1732X;GENE2240X;GENE3605X;GENE1619X;GENE832X;GENE1613X;GENE1812X;GENE3752X;GENE2484X;GENE1516X;GENE712X;GENE1632X;GENE713X;GENE565X;GENE736X;GENE1130X;GENE1635X;GENE221X;GENE2181X;GENE362X;GENE711X;GENE1768X;GENE1813X;GENE2109X;GENE663X;GENE646X;GENE844X;GENE3757X;GENE923X;GENE1530X;GENE1207X;GENE2200X;GENE2757X;GENE2220X;GENE1636X;GENE1631X;GENE2103X;GENE2377X;GENE3626X;GENE1798X;GENE1131X;GENE550X;GENE1543X;GENE981X;GENE2740X;GENE2739X,0.181,0.13,0.918
102,5NN,InformationGain,5,GENE1610X;GENE3943X;GENE493X;GENE390X;GENE1537X,0.083,0.478,0.811
116,5NN,ChiSquared,9,GENE1610X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE384X;GENE3941X;GENE3945X;GENE1567X,0.083,0.478,0.893
51,NaiveBayes,ChiSquared,5,GENE1610X;GENE1609X;GENE1537X;GENE385X;GENE493X,0.111,0.304,0.879
